Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22u,C_0805_2012Metric,149.02,-115.4975,0,top
C2,10p,C_0402_1005Metric,116.15,-95.2975,90,top
C3,10u,C_0603_1608Metric,129.865,-88.4,180,top
C4,100n,C_0402_1005Metric,116.42,-91.4475,180,top
C5,10p,C_0402_1005Metric,116.15,-97.7175,90,top
C6,22u,C_0805_2012Metric,154.15,-120.8475,90,top
C7,100n,C_0402_1005Metric,138.23,-88.6575,0,top
C8,100n,C_0402_1005Metric,147.51,-93.12,-90,top
C9,100n,C_0402_1005Metric,143.5,-103.3575,180,top
C10,100n,C_0402_1005Metric,132.48,-93.5175,-90,top
C11,10n,C_0402_1005Metric,132.27,-97.58,90,top
C12,1u,C_0402_1005Metric,124.24,-100.9175,180,top
C13,1u,C_0402_1005Metric,124.19,-102.6175,180,top
C14,1u,C_0402_1005Metric,136.69,-110.5,90,top
C15,100n,C_0402_1005Metric,138.22,-110.4475,90,top
C16,100n,C_0402_1005Metric,138.16,-108.2875,-90,top
D1,RED,LED_0603_1608Metric,141.54,-125.9475,0,top
FB1,120R,L_0603_1608Metric,127.2,-101.6475,-90,top
J1,USB_B_Micro,USB_Micro-B_Molex_47346-0001,156.08,-94.8,90,top
J2,Conn_01x08_Male,PinHeader_1x08_P2.54mm_Vertical,83.79,-89.86,0,top
J3,Conn_01x04_Male,PinHeader_1x04_P2.54mm_Vertical,150.3,-111.19,90,top
R1,1k5,R_0402_1005Metric,138.59,-125.97,180,top
R2,10k,R_0402_1005Metric,134.53,-86.71,0,top
R3,1k5,R_0402_1005Metric,149.93,-94.13,-90,top
R4,10k,R_0402_1005Metric,93.472,-92.964,0,top
R5,10k,R_0402_1005Metric,93.472,-90.17,180,top
R6,10k,R_0402_1005Metric,93.472,-98.806,180,top
R7,10k,R_0402_1005Metric,93.726,-95.758,180,top
R8,10k,R_0402_1005Metric,93.472,-101.854,180,top
SW1,SW_SPDT,SW_SPDT_PCM12,84.085,-79.7,-90,top
SW2,SW_Push,SW_PUSH_6mm,96.6,-75.27,0,top
SW3,SW_Push,SW_PUSH_6mm,117.77,-66.68,0,top
SW4,SW_Push,SW_PUSH_6mm,117.99,-75.11,0,top
SW5,SW_Push,SW_PUSH_6mm,117.54,-84.08,0,top
SW6,SW_Push,SW_PUSH_6mm,139.75,-75.05,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,149.1,-122.7875,-90,top
U2,STM32F103C8Tx,LQFP-48_7x7mm_P0.5mm,140.93,-96.1275,0,top
U3,ADXL343,LGA-14_3x5mm_P0.8mm_LayoutBorder1x6y,141.81,-109.51,0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,112.78,-96.6975,-90,top
